"Country","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Afghanistan","1","21-01-2020",0,0,0,0,0
"Afghanistan","2","22-01-2020",0,0,0,0,0
"Afghanistan","3","23-01-2020",0,0,0,0,0
"Afghanistan","4","24-01-2020",0,0,0,0,0
"Afghanistan","5","25-01-2020",0,0,0,0,0
"Afghanistan","6","26-01-2020",0,0,0,0,0
"Afghanistan","7","27-01-2020",0,0,0,0,0
"Afghanistan","8","28-01-2020",0,0,0,0,0
"Afghanistan","9","29-01-2020",0,0,0,0,0
"Afghanistan","10","30-01-2020",0,0,0,0,0
"Afghanistan","11","31-01-2020",0,0,0,0,0
"Afghanistan","12","01-02-2020",0,0,0,0,0
"Afghanistan","13","02-02-2020",0,0,0,0,0
"Afghanistan","14","03-02-2020",0,0,0,0,0
"Afghanistan","15","04-02-2020",0,0,0,0,0
"Afghanistan","16","05-02-2020",0,0,0,0,0
"Afghanistan","17","06-02-2020",0,0,0,0,0
"Afghanistan","18","07-02-2020",0,0,0,0,0
"Afghanistan","19","08-02-2020",0,0,0,0,0
"Afghanistan","20","09-02-2020",0,0,0,0,0
"Afghanistan","21","10-02-2020",0,0,0,0,0
"Afghanistan","22","11-02-2020",0,0,0,0,0
"Afghanistan","23","12-02-2020",0,0,0,0,0
"Afghanistan","24","13-02-2020",0,0,0,0,0
"Afghanistan","25","14-02-2020",0,0,0,0,0
"Afghanistan","26","15-02-2020",0,0,0,0,0
"Afghanistan","27","16-02-2020",0,0,0,0,0
"Afghanistan","28","17-02-2020",0,0,0,0,0
"Afghanistan","29","18-02-2020",0,0,0,0,0
"Afghanistan","30","19-02-2020",0,0,0,0,0
"Afghanistan","31","20-02-2020",0,0,0,0,0
"Afghanistan","32","21-02-2020",0,0,0,0,0
"Afghanistan","33","22-02-2020",0,0,0,0,0
"Afghanistan","34","23-02-2020",1,0,0,1,0
"Afghanistan","35","24-02-2020",1,0,0,1,0
"Afghanistan","36","25-02-2020",1,0,0,1,0
"Afghanistan","37","26-02-2020",1,0,0,1,0
"Afghanistan","38","27-02-2020",1,0,0,1,0
"Afghanistan","39","28-02-2020",1,0,0,1,0
"Afghanistan","40","29-02-2020",1,0,0,1,0
"Afghanistan","41","01-03-2020",1,0,0,1,0
"Afghanistan","42","02-03-2020",1,0,0,1,0
"Afghanistan","43","03-03-2020",1,0,0,1,0
"Afghanistan","44","04-03-2020",1,0,0,1,0
"Afghanistan","45","05-03-2020",1,0,0,1,0
"Afghanistan","46","06-03-2020",1,0,0,1,0
"Afghanistan","47","07-03-2020",4,0,0,4,0
"Afghanistan","48","08-03-2020",4,0,0,4,0
"Afghanistan","49","09-03-2020",5,0,0,5,0
"Afghanistan","50","10-03-2020",7,0,0,7,0
"Albania","1","21-01-2020",0,0,0,0,0
"Albania","2","22-01-2020",0,0,0,0,0
"Albania","3","23-01-2020",0,0,0,0,0
"Albania","4","24-01-2020",0,0,0,0,0
"Albania","5","25-01-2020",0,0,0,0,0
"Albania","6","26-01-2020",0,0,0,0,0
"Albania","7","27-01-2020",0,0,0,0,0
"Albania","8","28-01-2020",0,0,0,0,0
"Albania","9","29-01-2020",0,0,0,0,0
"Albania","10","30-01-2020",0,0,0,0,0
"Albania","11","31-01-2020",0,0,0,0,0
"Albania","12","01-02-2020",0,0,0,0,0
"Albania","13","02-02-2020",0,0,0,0,0
"Albania","14","03-02-2020",0,0,0,0,0
"Albania","15","04-02-2020",0,0,0,0,0
"Albania","16","05-02-2020",0,0,0,0,0
"Albania","17","06-02-2020",0,0,0,0,0
"Albania","18","07-02-2020",0,0,0,0,0
"Albania","19","08-02-2020",0,0,0,0,0
"Albania","20","09-02-2020",0,0,0,0,0
"Albania","21","10-02-2020",0,0,0,0,0
"Albania","22","11-02-2020",0,0,0,0,0
"Albania","23","12-02-2020",0,0,0,0,0
"Albania","24","13-02-2020",0,0,0,0,0
"Albania","25","14-02-2020",0,0,0,0,0
"Albania","26","15-02-2020",0,0,0,0,0
"Albania","27","16-02-2020",0,0,0,0,0
"Albania","28","17-02-2020",0,0,0,0,0
"Albania","29","18-02-2020",0,0,0,0,0
"Albania","30","19-02-2020",0,0,0,0,0
"Albania","31","20-02-2020",0,0,0,0,0
"Albania","32","21-02-2020",0,0,0,0,0
"Albania","33","22-02-2020",0,0,0,0,0
"Albania","34","23-02-2020",0,0,0,0,0
"Albania","35","24-02-2020",0,0,0,0,0
"Albania","36","25-02-2020",0,0,0,0,0
"Albania","37","26-02-2020",0,0,0,0,0
"Albania","38","27-02-2020",0,0,0,0,0
"Albania","39","28-02-2020",0,0,0,0,0
"Albania","40","29-02-2020",0,0,0,0,0
"Albania","41","01-03-2020",0,0,0,0,0
"Albania","42","02-03-2020",0,0,0,0,0
"Albania","43","03-03-2020",0,0,0,0,0
"Albania","44","04-03-2020",0,0,0,0,0
"Albania","45","05-03-2020",0,0,0,0,0
"Albania","46","06-03-2020",0,0,0,0,0
"Albania","47","07-03-2020",0,0,0,0,0
"Albania","48","08-03-2020",2,0,0,2,0
"Albania","49","09-03-2020",10,0,0,10,0
"Albania","50","10-03-2020",12,1,0,11,1
"Algeria","1","21-01-2020",0,0,0,0,0
"Algeria","2","22-01-2020",0,0,0,0,0
"Algeria","3","23-01-2020",0,0,0,0,0
"Algeria","4","24-01-2020",0,0,0,0,0
"Algeria","5","25-01-2020",0,0,0,0,0
"Algeria","6","26-01-2020",0,0,0,0,0
"Algeria","7","27-01-2020",0,0,0,0,0
"Algeria","8","28-01-2020",0,0,0,0,0
"Algeria","9","29-01-2020",0,0,0,0,0
"Algeria","10","30-01-2020",0,0,0,0,0
"Algeria","11","31-01-2020",0,0,0,0,0
"Algeria","12","01-02-2020",0,0,0,0,0
"Algeria","13","02-02-2020",0,0,0,0,0
"Algeria","14","03-02-2020",0,0,0,0,0
"Algeria","15","04-02-2020",0,0,0,0,0
"Algeria","16","05-02-2020",0,0,0,0,0
"Algeria","17","06-02-2020",0,0,0,0,0
"Algeria","18","07-02-2020",0,0,0,0,0
"Algeria","19","08-02-2020",0,0,0,0,0
"Algeria","20","09-02-2020",0,0,0,0,0
"Algeria","21","10-02-2020",0,0,0,0,0
"Algeria","22","11-02-2020",0,0,0,0,0
"Algeria","23","12-02-2020",0,0,0,0,0
"Algeria","24","13-02-2020",0,0,0,0,0
"Algeria","25","14-02-2020",0,0,0,0,0
"Algeria","26","15-02-2020",0,0,0,0,0
"Algeria","27","16-02-2020",0,0,0,0,0
"Algeria","28","17-02-2020",0,0,0,0,0
"Algeria","29","18-02-2020",0,0,0,0,0
"Algeria","30","19-02-2020",0,0,0,0,0
