"Country","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"United States","1","22-01-2020",1,0,1,0
"United States","2","23-01-2020",1,0,1,0
"United States","3","24-01-2020",2,0,2,0
"United States","4","25-01-2020",2,0,2,0
"United States","5","26-01-2020",5,0,5,0
"United States","6","27-01-2020",5,0,5,0
"United States","7","28-01-2020",5,0,5,0
"United States","8","29-01-2020",5,0,5,0
"United States","9","30-01-2020",5,0,5,0
"United States","10","31-01-2020",7,0,7,0
"United States","11","01-02-2020",8,0,8,0
"United States","12","02-02-2020",8,0,8,0
"United States","13","03-02-2020",11,0,11,0
"United States","14","04-02-2020",11,0,11,0
"United States","15","05-02-2020",11,0,11,0
"United States","16","06-02-2020",11,0,11,0
"United States","17","07-02-2020",11,0,11,0
"United States","18","08-02-2020",11,0,11,0
"United States","19","09-02-2020",11,0,11,0
"United States","20","10-02-2020",11,0,11,0
"United States","21","11-02-2020",12,0,12,0
"United States","22","12-02-2020",12,0,12,0
"United States","23","13-02-2020",13,0,13,0
"United States","24","14-02-2020",13,0,13,0
"United States","25","15-02-2020",13,0,13,0
"United States","26","16-02-2020",13,0,13,0
"United States","27","17-02-2020",13,0,13,0
"United States","28","18-02-2020",13,0,13,0
"United States","29","19-02-2020",13,0,13,0
"United States","30","20-02-2020",13,0,13,0
"United States","31","21-02-2020",15,0,15,0
"United States","32","22-02-2020",15,0,15,0
"United States","33","23-02-2020",15,0,15,0
"United States","34","24-02-2020",51,0,51,0
"United States","35","25-02-2020",51,0,51,0
"United States","36","26-02-2020",57,0,57,0
"United States","37","27-02-2020",58,0,58,0
"United States","38","28-02-2020",60,0,60,0
"United States","39","29-02-2020",68,1,67,1
"United States","40","01-03-2020",74,1,73,1
"United States","41","02-03-2020",98,6,92,6
"United States","42","03-03-2020",118,7,111,7
"United States","43","04-03-2020",149,11,138,11
"United States","44","05-03-2020",217,12,205,12
"United States","45","06-03-2020",262,14,248,14
"United States","46","07-03-2020",402,17,385,17
"United States","47","08-03-2020",518,21,497,21
"United States","48","09-03-2020",583,22,561,22
"United States","49","10-03-2020",959,28,931,28
"United States","50","11-03-2020",1281,36,1245,36
"United States","51","12-03-2020",1663,40,1623,40
"United States","52","13-03-2020",2179,47,2132,47
"United States","53","14-03-2020",2727,54,2673,54
"United States","54","15-03-2020",3499,63,3436,63
"United States","55","16-03-2020",4632,85,4547,85
"United States","56","17-03-2020",6421,108,6313,108
"United States","57","18-03-2020",7783,118,7665,118
"United States","58","19-03-2020",13677,200,13477,200
"United States","59","20-03-2020",19100,244,18856,244
"United States","60","21-03-2020",25489,307,25182,307
"United States","61","22-03-2020",33276,417,32859,417
"United States","62","23-03-2020",43847,557,43290,557
"United States","63","24-03-2020",53740,706,53034,706
"United States","64","25-03-2020",65778,942,64836,942
"United States","65","26-03-2020",83836,1209,82627,1209
"United States","66","27-03-2020",101657,1581,100076,1581
"United States","67","28-03-2020",121478,2026,119452,2026
"United States","68","29-03-2020",140886,2467,138419,2467
"United States","69","30-03-2020",161807,2978,158829,2978
"United States","70","31-03-2020",188172,3873,184299,3873
"United States","71","01-04-2020",213372,4757,208615,4757
"United States","72","02-04-2020",243453,5926,237527,5926
