"Location","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Hubei","1","22-01-2020",444,17,427,17
"China","1","22-01-2020",104,0,104,0
"World","1","22-01-2020",111,0,111,0
"Hubei","2","23-01-2020",444,17,427,17
"China","2","23-01-2020",199,1,198,1
"World","2","23-01-2020",210,0,210,0
"Hubei","3","24-01-2020",549,24,525,24
"China","3","24-01-2020",371,2,369,2
"World","3","24-01-2020",392,0,392,0
"Hubei","4","25-01-2020",761,40,721,40
"China","4","25-01-2020",645,2,643,2
"World","4","25-01-2020",673,0,673,0
"Hubei","5","26-01-2020",1058,52,1006,52
"China","5","26-01-2020",1017,4,1013,4
"World","5","26-01-2020",1060,0,1060,0
"Hubei","6","27-01-2020",1423,76,1347,76
"China","6","27-01-2020",1454,6,1448,6
"World","6","27-01-2020",1504,0,1504,0
"Hubei","7","28-01-2020",3554,125,3429,125
"China","7","28-01-2020",1955,6,1949,6
"World","7","28-01-2020",2024,0,2024,0
"Hubei","8","29-01-2020",3554,125,3429,125
"China","8","29-01-2020",2533,8,2525,8
"World","8","29-01-2020",2612,0,2612,0
"Hubei","9","30-01-2020",4903,162,4741,162
"China","9","30-01-2020",3238,9,3229,9
"World","9","30-01-2020",3331,0,3331,0
"Hubei","10","31-01-2020",5806,204,5602,204
"China","10","31-01-2020",3996,9,3987,9
"World","10","31-01-2020",4122,0,4122,0
"Hubei","11","01-02-2020",7153,249,6904,249
"China","11","01-02-2020",4738,10,4728,10
"World","11","01-02-2020",4885,0,4885,0
"Hubei","12","02-02-2020",11177,350,10827,350
"China","12","02-02-2020",5453,11,5442,11
"World","12","02-02-2020",5611,1,5610,1
"Hubei","13","03-02-2020",13522,414,13108,414
"China","13","03-02-2020",6194,11,6183,11
"World","13","03-02-2020",6366,1,6365,1
"Hubei","14","04-02-2020",16678,479,16199,479
"China","14","04-02-2020",7029,12,7017,12
"World","14","04-02-2020",7220,1,7219,1
"Hubei","15","05-02-2020",19665,549,19116,549
"China","15","05-02-2020",7775,14,7761,14
"World","15","05-02-2020",7978,1,7977,1
"Hubei","16","06-02-2020",22112,618,21494,618
"China","16","06-02-2020",8475,15,8460,15
"World","16","06-02-2020",8690,1,8689,1
"Hubei","17","07-02-2020",24953,699,24254,699
"China","17","07-02-2020",9157,19,9138,19
"World","17","07-02-2020",9442,1,9441,1
"Hubei","18","08-02-2020",27100,780,26320,780
"China","18","08-02-2020",9714,25,9689,25
"World","18","08-02-2020",10029,1,10028,1
"Hubei","19","09-02-2020",29631,871,28760,871
"China","19","09-02-2020",10198,34,10164,34
"World","19","09-02-2020",10528,1,10527,1
"Hubei","20","10-02-2020",31728,974,30754,974
"China","20","10-02-2020",10626,38,10588,38
"World","20","10-02-2020",11040,1,11039,1
"Hubei","21","11-02-2020",33366,1068,32298,1068
"China","21","11-02-2020",11020,44,10976,44
"World","21","11-02-2020",11444,1,11443,1
"Hubei","22","12-02-2020",33366,1068,32298,1068
"China","22","12-02-2020",11393,49,11344,49
"World","22","12-02-2020",11862,1,11861,1
"Hubei","23","13-02-2020",48206,1310,46896,1310
"China","23","13-02-2020",11689,59,11630,59
"World","23","13-02-2020",12175,2,12173,2
"Hubei","24","14-02-2020",54406,1457,52949,1457
"China","24","14-02-2020",11952,64,11888,64
"World","24","14-02-2020",12502,2,12500,2
"Hubei","25","15-02-2020",56249,1596,54653,1596
"China","25","15-02-2020",12164,67,12097,67
"World","25","15-02-2020",12801,3,12798,3
"Hubei","26","16-02-2020",58182,1696,56486,1696
"China","26","16-02-2020",12331,70,12261,70
"World","26","16-02-2020",13052,4,13048,4
"Hubei","27","17-02-2020",59989,1789,58200,1789
"China","27","17-02-2020",12445,75,12370,75
"World","27","17-02-2020",13280,4,13276,4
"Hubei","28","18-02-2020",61682,1921,59761,1921
"China","28","18-02-2020",12529,82,12447,82
"World","28","18-02-2020",13469,5,13464,5
"Hubei","29","19-02-2020",62031,2029,60002,2029
"China","29","19-02-2020",12588,87,12501,87
"World","29","19-02-2020",13620,7,13613,7
"Hubei","30","20-02-2020",62442,2144,60298,2144
"China","30","20-02-2020",12635,94,12541,94
"World","30","20-02-2020",13769,10,13759,10
"Hubei","31","21-02-2020",62662,2144,60518,2144
"China","31","21-02-2020",12888,94,12794,94
"World","31","21-02-2020",14178,14,14164,14
"Hubei","32","22-02-2020",64084,2346,61738,2346
"China","32","22-02-2020",12917,97,12820,97
"World","32","22-02-2020",14517,16,14501,16
"Hubei","33","23-02-2020",64084,2346,61738,2346
"China","33","23-02-2020",12938,99,12839,99
"World","33","23-02-2020",14895,25,14870,25
"Hubei","34","24-02-2020",64287,2495,61792,2495
"China","34","24-02-2020",12954,100,12854,100
"World","34","24-02-2020",15256,35,15221,35
"Hubei","35","25-02-2020",64786,2563,62223,2563
"China","35","25-02-2020",12968,102,12866,102
"World","35","25-02-2020",15610,45,15565,45
"Hubei","36","26-02-2020",65187,2615,62572,2615
"China","36","26-02-2020",12979,102,12877,102
"World","36","26-02-2020",16186,54,16132,54
"Hubei","37","27-02-2020",65596,2641,62955,2641
"China","37","27-02-2020",13004,105,12899,105
"World","37","27-02-2020",17141,68,17073,68
"Hubei","38","28-02-2020",65914,2682,63232,2682
"China","38","28-02-2020",13014,108,12906,108
"World","38","28-02-2020",18201,83,18118,83
"Hubei","39","29-02-2020",66337,2727,63610,2727
"China","39","29-02-2020",13019,110,12909,110
"World","39","29-02-2020",19673,105,19568,105
"Hubei","40","01-03-2020",66907,2761,64146,2761
"China","40","01-03-2020",13025,111,12914,111
"World","40","01-03-2020",21481,124,21357,124
"Hubei","41","02-03-2020",67103,2803,64300,2803
"China","41","02-03-2020",13033,111,12922,111
"World","41","02-03-2020",23259,171,23088,171
"Hubei","42","03-03-2020",67217,2835,64382,2835
"China","42","03-03-2020",13044,112,12932,112
"World","42","03-03-2020",25723,213,25510,213
"Hubei","43","04-03-2020",67332,2871,64461,2871
"China","43","04-03-2020",13054,112,12942,112
"World","43","04-03-2020",27907,272,27635,272
"Hubei","44","05-03-2020",67466,2902,64564,2902
"China","44","05-03-2020",13071,113,12958,113
"World","44","05-03-2020",30564,333,30231,333
"Hubei","45","06-03-2020",67592,2931,64661,2931
"China","45","06-03-2020",13098,113,12985,113
"World","45","06-03-2020",34383,416,33967,416
"Hubei","46","07-03-2020",67666,2959,64707,2959
"China","46","07-03-2020",13104,113,12991,113
"World","46","07-03-2020",38347,487,37860,487
"Hubei","47","08-03-2020",67707,2986,64721,2986
"China","47","08-03-2020",13116,114,13002,114
"World","47","08-03-2020",42260,703,41557,703
"Hubei","48","09-03-2020",67743,3008,64735,3008
"China","48","09-03-2020",13117,115,13002,115
"World","48","09-03-2020",46127,864,45263,864
"Hubei","49","10-03-2020",67760,3024,64736,3024
"China","49","10-03-2020",13127,115,13012,115
"World","49","10-03-2020",51133,1127,50006,1127
"Hubei","50","11-03-2020",67773,3046,64727,3046
"China","50","11-03-2020",13148,115,13033,115
"World","50","11-03-2020",58783,1450,57333,1450
"Hubei","51","12-03-2020",67781,3056,64725,3056
"China","51","12-03-2020",13151,116,13035,116
"World","51","12-03-2020",64525,1744,62781,1744
"Hubei","52","13-03-2020",67786,3062,64724,3062
"China","52","13-03-2020",13159,118,13041,118
"World","52","13-03-2020",78927,2233,76694,2233
"Hubei","53","14-03-2020",67790,3075,64715,3075
"China","53","14-03-2020",13187,118,13069,118
"World","53","14-03-2020",90020,2637,87383,2637
"Hubei","54","15-03-2020",67794,3085,64709,3085
"China","54","15-03-2020",13209,118,13091,118
"World","54","15-03-2020",101163,3268,97895,3268
"Hubei","55","16-03-2020",67798,3099,64699,3099
"China","55","16-03-2020",13235,118,13117,118
"World","55","16-03-2020",115813,3939,111874,3939
"Hubei","56","17-03-2020",67799,3111,64688,3111
"China","56","17-03-2020",13259,119,13140,119
"World","56","17-03-2020",131660,4730,126930,4730
"Hubei","57","18-03-2020",67800,3122,64678,3122
"China","57","18-03-2020",13303,119,13184,119
"World","57","18-03-2020",151262,5616,145646,5616
"Hubei","58","19-03-2020",67800,3130,64670,3130
"China","58","19-03-2020",13357,119,13238,119
"World","58","19-03-2020",179198,6717,172481,6717
"Hubei","59","20-03-2020",67800,3133,64667,3133
"China","59","20-03-2020",13451,120,13331,120
"World","59","20-03-2020",208826,8191,200635,8191
"Hubei","60","21-03-2020",67800,3139,64661,3139
"China","60","21-03-2020",13506,120,13386,120
"World","60","21-03-2020",241184,9893,231291,9893
"Hubei","61","22-03-2020",67800,3153,64647,3153
"China","61","22-03-2020",13636,121,13515,121
"World","61","22-03-2020",274695,11578,263117,11578
"Hubei","62","23-03-2020",67800,3153,64647,3153
"China","62","23-03-2020",13699,121,13578,121
"World","62","23-03-2020",316916,13496,303420,13496
"Hubei","63","24-03-2020",67801,3160,64641,3160
"China","63","24-03-2020",13791,121,13670,121
"World","63","24-03-2020",358140,15761,342379,15761
"Hubei","64","25-03-2020",67801,3163,64638,3163
"China","64","25-03-2020",13861,122,13739,122
"World","64","25-03-2020",409047,18536,390511,18536
"Hubei","65","26-03-2020",67801,3169,64632,3169
"China","65","26-03-2020",13982,122,13860,122
"World","65","26-03-2020",472119,21539,450580,21539
"Hubei","66","27-03-2020",67801,3174,64627,3174
"China","66","27-03-2020",14097,122,13975,122
"World","66","27-03-2020",536617,25062,511555,25062
"Hubei","67","28-03-2020",67801,3177,64624,3177
"China","67","28-03-2020",14199,122,14077,122
"World","67","28-03-2020",604379,28743,575636,28743
"Hubei","68","29-03-2020",67801,3182,64619,3182
"China","68","29-03-2020",14322,122,14200,122
"World","68","29-03-2020",664118,32222,631896,32222
"Hubei","69","30-03-2020",67801,3186,64615,3186
"China","69","30-03-2020",14398,122,14276,122
"World","69","30-03-2020",728825,36386,692439,36386
"Hubei","70","31-03-2020",67801,3187,64614,3187
"China","70","31-03-2020",14479,122,14357,122
"World","70","31-03-2020",805449,41237,764212,41237
"Hubei","71","01-04-2020",67802,3193,64609,3193
"China","71","01-04-2020",14560,123,14437,123
"World","71","01-04-2020",881880,46788,835092,46788
"Hubei","72","02-04-2020",67802,3199,64603,3199
"China","72","02-04-2020",14631,123,14508,123
"World","72","02-04-2020",963388,53088,910300,53088
"Hubei","73","03-04-2020",67802,3203,64599,3203
"China","73","03-04-2020",14710,123,14587,123
"World","73","03-04-2020",1046682,59079,987603,59079
"Hubei","74","04-04-2020",67803,3207,64596,3207
"China","74","04-04-2020",14741,123,14618,123
"World","74","04-04-2020",1127065,64917,1062148,64917
"Hubei","75","05-04-2020",67803,3210,64593,3210
"China","75","05-04-2020",14800,123,14677,123
"World","75","05-04-2020",1199058,69951,1129107,69951
