"Location","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Hubei","1","22-01-2020",444,17,28,399,45
"China","1","22-01-2020",104,0,0,104,0
"World","1","22-01-2020",111,0,0,111,0
"Diamond Princess","1","22-01-2020",0,0,0,0,0
"Hubei","2","23-01-2020",444,17,28,399,45
"China","2","23-01-2020",199,1,2,196,3
"World","2","23-01-2020",210,0,0,210,0
"Diamond Princess","2","23-01-2020",0,0,0,0,0
"Hubei","3","24-01-2020",549,24,31,494,55
"China","3","24-01-2020",371,2,5,364,7
"World","3","24-01-2020",392,0,0,392,0
"Diamond Princess","3","24-01-2020",0,0,0,0,0
"Hubei","4","25-01-2020",761,40,32,689,72
"China","4","25-01-2020",645,2,7,636,9
"World","4","25-01-2020",673,0,0,673,0
"Diamond Princess","4","25-01-2020",0,0,0,0,0
"Hubei","5","26-01-2020",1058,52,42,964,94
"China","5","26-01-2020",1017,4,7,1006,11
"World","5","26-01-2020",1060,0,3,1057,3
"Diamond Princess","5","26-01-2020",0,0,0,0,0
"Hubei","6","27-01-2020",1423,76,45,1302,121
"China","6","27-01-2020",1454,6,13,1435,19
"World","6","27-01-2020",1504,0,3,1501,3
"Diamond Princess","6","27-01-2020",0,0,0,0,0
"Hubei","7","28-01-2020",3554,125,80,3349,205
"China","7","28-01-2020",1955,6,21,1928,27
"World","7","28-01-2020",2024,0,6,2018,6
"Diamond Princess","7","28-01-2020",0,0,0,0,0
"Hubei","8","29-01-2020",3554,125,88,3341,213
"China","8","29-01-2020",2533,8,32,2493,40
"World","8","29-01-2020",2612,0,6,2606,6
"Diamond Princess","8","29-01-2020",0,0,0,0,0
"Hubei","9","30-01-2020",4903,162,90,4651,252
"China","9","30-01-2020",3238,9,45,3184,54
"World","9","30-01-2020",3331,0,8,3323,8
"Diamond Princess","9","30-01-2020",0,0,0,0,0
"Hubei","10","31-01-2020",5806,204,141,5461,345
"China","10","31-01-2020",3996,9,73,3914,82
"World","10","31-01-2020",4122,0,8,4114,8
"Diamond Princess","10","31-01-2020",0,0,0,0,0
"Hubei","11","01-02-2020",7153,249,168,6736,417
"China","11","01-02-2020",4738,10,107,4621,117
"World","11","01-02-2020",4885,0,9,4876,9
"Diamond Princess","11","01-02-2020",0,0,0,0,0
"Hubei","12","02-02-2020",11177,350,295,10532,645
"China","12","02-02-2020",5453,11,168,5274,179
"World","12","02-02-2020",5611,1,9,5601,10
"Diamond Princess","12","02-02-2020",0,0,0,0,0
"Hubei","13","03-02-2020",13522,414,386,12722,800
